id,lat,lon,brand
1228781,46.8785984,7.5423261,BP
5702030,46.6805465,7.8274119,Migrol
5702071,46.6834149,7.8445587,Avia
27069561,47.3963906,8.6233174,SOCAR
27125026,47.4010933,8.6199554,BP
29881492,47.686119,8.621418,Shell
29881496,47.6822764,8.6093701,OIL!
29882004,47.6799675,8.6064702,Coop
33127154,47.1377584,9.0509476,BP
33157581,47.1554377,9.038236,BP
34026947,47.1782564,9.0513173,BP
34026948,47.1871045,9.0496605,Spurt
34078845,47.4956958,8.7129812,Shell
47744371,47.3995257,8.4973287,Coop
52741787,47.3815928,8.5095448,Shell
54754456,47.1211551,9.122469,Eni
59185470,47.2376219,8.7276971,Avia
73124669,47.3811098,8.4921479,Migrol
82462301,47.6556089,8.857671,Avia
83423432,47.3374315,8.5302419,Shell
83424882,47.3398175,8.5298146,Avia
84513888,47.3236425,8.5187472,Eni
89266715,47.1832564,7.9810905,Agrola
94628702,47.0265599,8.2991398,Shell
95582040,47.0495135,9.0600281,Avia
98838885,47.0678093,9.0577963,Coop
98838886,47.0725304,9.0560821,SOCAR
102726613,47.2169721,8.5763211,Migrol
103096904,47.3459074,8.534658,Avia
103102957,47.3485725,8.5340966,BP
110964235,47.5278765,7.7003458,BP
111247327,47.5080581,8.5437196,Migrol
125683037,47.5250153,7.6900191,BP
135633811,47.3980896,8.5399105,Migrol
148213917,47.0067564,7.1099653,Avia
148466650,47.4387423,8.3478347,Shell
148466654,47.4383077,8.3470877,Shell
153289980,47.5389027,7.7343968,Coop
171100087,47.2028273,9.0072882,Opel
179047160,47.2327033,8.6143556,Independent
182812681,47.0111586,9.5123249,BP
190344999,47.3795583,9.5445168,BP
201387216,47.4352023,9.1387028,Coop
213320801,47.2291296,9.0232582,Shell
220030470,47.5023332,8.0316396,Tamoil
220830818,47.2190519,7.7873795,Migrol
243881645,47.5882149,8.8857991,Avia
246650988,47.2300466,8.9620388,Migrol
247345256,47.2269883,7.8404587,Eni
247702040,47.7046119,8.8205492,Migrol
247702174,47.706782,8.820345,Migrol
247702175,47.7092628,8.8208431,Eni
248973336,47.200788,9.3375706,Avia
249500787,47.374827,8.6428183,SOCAR
251364446,47.5659008,9.0967582,Coop
251364447,47.5629712,9.1047017,Shell
251364453,47.5644097,9.0999412,Eni
251364454,47.5622326,9.1211508,BP
253239439,46.9650682,7.4638599,Shell
255007349,47.4436565,8.465643,Coop
256757662,46.7809278,7.6041999,Tamoil
257281284,47.1884095,8.396334,BP
257282729,47.1964661,8.4341059,Avia
258875594,47.1913959,8.8947716,Avia
260443215,47.5809034,7.5942068,Shell
263923036,47.3555523,8.3260826,Shell
264065504,47.4155139,8.5903409,Shell
264378536,47.13014,7.6156648,Agrola
264529525,46.9715008,9.5513162,Coop
264771144,47.3450623,7.9074428,Shell
264794355,47.4128994,8.6168482,Coop
264889459,47.3042342,8.6906319,Avia
265627180,46.9590478,7.4559202,Migrol
266285284,47.4502033,8.2907357,SOCAR
266542839,46.5458,6.5871529,BP
266542840,46.548827,6.5799914,Tamoil
266542843,47.0977652,6.8367095,Tamoil
266561086,47.3232719,7.8042047,Tamoil
266825152,47.1812476,8.8976164,Agrola
266953468,47.2531303,8.6194521,Avia
267053552,46.5535448,6.5707336,Migrol
267053810,46.505564,6.4859824,Eni
267053813,46.50091,6.4844802,Eni
267211865,46.4744222,6.4131575,BP
267924554,47.3971141,8.0409728,Ruedi Rüssel
268469414,47.3695212,8.5107127,Independent
268742610,47.4048172,8.0919529,Tamoil
268892714,46.7653822,7.6258053,Shell
269120240,47.3521481,8.722673,Shell
269304240,46.5335973,6.5850826,Shell
269304246,46.5345567,6.5652376,Shell
269450517,47.5777955,7.5964463,Coop
269654731,47.5484517,7.546409,Shell
269665687,46.7140743,7.5662706,Agrola
269952262,46.5098465,6.650494,Shell
270051291,46.7283004,8.1836091,SOCAR
270288402,46.9694323,8.3525486,Agrola
271223009,47.3534438,8.5768921,BP
272725604,47.2258573,7.6161562,BP
273223793,47.5615058,7.5994793,Migrol
273529124,46.8445768,7.1907102,Tamoil
274592567,47.4896462,7.598234,Migrol
274678779,47.5258531,7.6037741,SOCAR
274815548,47.2466719,8.4610784,Avia
274978894,47.4832546,7.5461208,Avia
274980463,47.2980447,8.3164949,Shell
275422339,46.9454893,7.4712058,Shell
277469389,47.7030543,8.6453087,SOCAR
277755862,47.1201627,9.056737,BP
278205001,47.2295962,8.8437234,SOCAR
278205018,47.2969244,8.8399034,Avia
278232271,46.6047314,6.5270144,Eni
278792162,46.9369824,7.4755179,Migrol
279909825,47.2040191,8.7641063,Shell
280528115,46.9546702,7.4332051,Migrol
281282674,46.2597266,6.947662,BP
281284025,46.3935598,6.921506,Shell
281284791,46.1111272,7.077013,Tamoil
281571963,46.9354032,7.4801601,Ruedi Rüssel
281761432,46.898611,8.2506888,Socar
283181019,47.3860523,8.5319464,Migrol
283201896,47.2018784,8.790165,BP
283213549,46.9368196,7.432424,Eni
284931676,46.2304848,6.0849653,Shell
286048215,47.1937469,7.4053771,SOCAR
286059665,47.1857372,8.454374,BP
286770232,46.752103,8.0483903,Socar
286782225,47.7235876,8.6397406,Avia
286879558,46.8866278,7.3890744,Agrola
286879677,46.9250194,7.416907,Ruedi Rüssel
287320953,47.1023815,6.8333999,BP
288557316,47.4898013,7.5896372,Avia
290798270,46.9731324,7.438128,AVIA
291415329,47.6550521,9.1647784,Socar
292331528,47.5600805,9.1320734,Agrola
292341684,47.5501032,9.1527304,Avia
292507777,46.7802595,6.6533462,Shell
293011493,47.5601728,8.4925388,Shell
293254091,46.818486,8.3979432,Shell
293585451,47.4727471,7.7555382,Coop
293609533,47.5285053,8.466666,Agrola
294055540,47.1102304,8.3211384,Migrol
294055589,47.1216181,8.3416496,Avia
296253069,47.0893332,6.8075691,Coop Pronto
296941470,47.2140841,8.7004828,Avia
296990388,47.4275979,7.7714448,Migrol
297070232,46.7848989,6.6332171,Esso
297302039,47.4070106,8.7269393,Shell
297993545,47.2299301,8.6671966,Avia
298042177,47.5615782,7.5679874,BP
298681614,47.4940397,9.4683968,Avia
298715804,47.4800585,9.0297703,BEBECO
299363864,47.1790298,8.4317033,Agrola
299364634,47.1795921,8.4338162,Shell
299752761,47.3803229,8.5463543,Independent
299813447,47.2867307,8.5433519,Independent
300418712,47.393705,8.5059844,Avia
300514678,47.7921289,8.6128299,SOCAR
300514679,47.7924263,8.6121257,Migrol
301208147,47.3728411,8.5211422,BP
301407672,47.4865145,8.2949688,Independent
303314859,47.3629959,9.0734928,BP
303699177,47.4518342,8.7012565,BP
303844420,46.9713525,7.3553734,Agrola
304917714,47.4541266,8.4383363,Socar
304992273,47.4585509,8.4068901,Avia
304993060,47.4460704,8.4631797,Agrola
305469317,47.0012366,7.4619783,Avia
305469322,47.0043064,7.4629537,SOCAR
305701426,47.4448843,8.6233539,Avia
305707837,47.4445742,8.6251146,SOCAR
305765115,47.0631953,7.3348212,MACRO SWISS ENERGY AG
305765123,47.0679047,7.3157883,bp
306498031,46.5825559,6.6012717,Shell
307028624,47.2111081,7.5442211,Migrol
307121156,47.4220428,8.6848857,Migrol
307661791,47.2370963,8.6374727,Ruedi Rüssel
307695032,47.2237124,7.7784468,Avia
307821699,46.8623721,7.4607301,Ruedi Rüssel
308075661,46.9435046,7.3711499,Shell
308077581,46.9069076,7.2358556,Agrola
309112387,47.4344986,8.7635897,Avia
309425295,47.327756,8.7824754,BP
309431866,47.0904271,6.8085505,Migrol
309765158,47.0636968,6.7607215,Socar
309986668,46.0537291,8.9728703,Migrol
310205995,47.3968963,8.4404596,BP
310299936,47.2974998,7.9359255,SOCAR
310314796,47.4294761,8.6871544,SOCAR
310567715,46.3199827,10.0592318,Migrol
310668275,47.1057836,8.3795569,Agrola
310875963,47.2302544,8.8481246,Migrol
311097320,46.889789,7.2243433,Avia
311185159,47.4403024,9.4101696,BP
311319045,47.229728,8.4785611,Migrol
311976893,47.4010238,8.4915916,Shell
312012092,47.4141963,8.518214,Migrol
312365830,46.1281589,7.0600696,Shell
312468153,47.1247819,7.2596305,Tamoil
313268393,47.3802915,8.4940158,Shell
315513529,47.1008381,8.2673762,Avia
315538104,47.4682442,8.2113135,Independent
316022671,47.4616297,9.5963017,Avia
316022885,47.4439922,9.5323785,BP
317022081,47.5980137,9.0311262,Agrola
317038642,47.1433014,7.3733308,Ruedi Rüssel
317045478,47.4712239,9.0585959,Avia
